sku,title,model_code,unit_price,inventory,state,department,keywords
P001,Widget Pro,a001,29.99,150,active,Electronics,"gadget,premium"
P002,Gadget Plus,A002,48.99,10,active,Electronics,"gadget,sale"
P003,Thingamajig Standard,a001,15.99,75,active,Home,"standard,budget"
P004,Doodad Deluxe,b-x1,89.99,25,active,Electronics,"premium,deluxe"
P005,Whatchamacallit Mini,g100,9.99,0,archived,Home,"mini,clearance"
P006,Doohickey Basic,A003,19.99,200,active,Tools,"basic,essential"
P007,Framitz Pro,bx1,59.99,10,active,Tools,"professional"
P008,Thingamabob Lite,a002,24.99,5,active,Electronics,"lightweight,sale"
P009,Gizmo Ultra,G200,129.99,5,active,Electronics,"ultra,premium,flagship"
P010,Sprocket Standard,a001,34.99,100,active,Mechanical,"standard,reliable"
P011,Cog Heavy Duty,b-x2,74.99,30,active,Mechanical,"heavy-duty,industrial"
P012,Nut Basic,A003,4.99,500,active,Hardware,"basic,essential"
P013,Bolt Precision,g100,8.99,0,active,Hardware,"precision"
P014,Washer Standard,bx2,2.99,1000,active,Hardware,"standard,bulk"
P015,Clamp Pro,A002,44.99,20,active,Tools,"professional"
P016,Spring Coil,A001,12.99,75,active,Mechanical,"standard"
P017,Gear Assembly,b-x1,99.99,15,active,Mechanical,"premium"
