product_id,name,model,price,stock,status,category,tags
P001,Widget Pro,A001,29.99,150,Active,Electronics,"gadget,premium,sale"
P002,Gadget Plus,A002,49.99,0,Active,Electronics,"gadget,sale"
P003,Thingamajig Standard,A001,15.99,75,Active,Home,"standard,budget"
P004,Doodad Deluxe,B-X1,89.99,25,Active,Electronics,"premium,deluxe"
P005,Whatchamacallit Mini,G100,9.99,0,Discontinued,Home,"mini,clearance"
P006,Doohickey Basic,A003,19.99,200,Active,Tools,"basic,essential"
P007,Framitz Pro,BX1,59.99,10,Active,Tools,"professional"
P008,Thingamabob Lite,A002,24.99,0,Active,Electronics,"lightweight,sale"
P009,Gizmo Ultra,G200,129.99,5,Active,Electronics,"ultra,premium,flagship"
P010,Sprocket Standard,A001,34.99,100,Active,Mechanical,"standard,reliable"
P011,Cog Heavy Duty,B-X2,74.99,30,Active,Mechanical,"heavy-duty,industrial"
P012,Nut Basic,A003,4.99,500,Active,Hardware,"basic,essential"
P013,Bolt Precision,G100,8.99,0,Deleted,Hardware,"precision,discontinued"
P014,Washer Standard,BX2,2.99,1000,Active,Hardware,"standard,bulk"
P015,Clamp Pro,A002,44.99,20,Active,Tools,"professional,heavy-duty"
